Shashaank,Naren,Sriram,Mahaarajan,Srikumar,Sudarshan,Niranjini,Raghav,Priyanka
Punjab Kings,Gujarat Titans,Delhi Capitals,Royal Challengers Bengaluru,Rajasthan Royals,Chennai Super Kings,Sunrisers Hyderabad,Mumbai Indians,Kolkata Knight Riders
Glenn Maxwell,Shubman Gill,K L Rahul,Virat Kohli,Yashasvi Jaiswal,Matheesha Pathirana,Travis Head,N Tilak Varma,Venkatesh Iyer
Marcus Stoinis,Aiden Markram,Mitchell Starc,Arshdeep Singh,Nitish Rana,Ruturaj Gaikwad,Abhishek Sharma,Suryakumar Yadav,Sunil Narine
Shreyas Iyer,Quinton de Kock,Axar Patel,Washington Sundar,Deepak Chahar,Noor Ahmad,Heinrich Klaasen,Trent Boult,Andre Russell
Rahul Tripathi,Lockie Ferguson,Mohammed Siraj,Hardik Pandya,Maheesh Theekshana,Abhinav Manohar,Mukesh Kumar,Khaleel Ahmed,T Natarajan
Vaibhav Arora,Abdul Samad,Rinku Singh,Mohsin Khan,Rohit Sharma,Mohammed Shami,Harpreet Brar,Nicholas Pooran,Akash Deep
Mukesh Choudhary,Kuldeep Yadav,Will Jacks,Tim David,Jos Buttler,Deepak Hooda,Wanindu Hasaranga,Gerald Coetzee,Abishek Porel
Shahrukh Khan,Ravichandran Ashwin,Shashank Singh,Shamar Joseph,Devon Conway,Shahbaz Ahamad,Rahul Chahar,Krunal Pandya,Sherfane Rutherford
Robin Minz,Varun Chakaravarthy,Angkrish Raghuvanshi,Devdutt Padikkal,Tristan Stubbs,Pat Cummins,Jitesh Sharma,Nathan Ellis,Manish Pandey
Ishan Kishan,Liam Livingstone,Mohit Sharma,Rishabh Pant,Rachin Ravindra,MS Dhoni,Bhuvneshwar Kumar,B. Sai Sudharsan,Ajinkya Rahane
Jake Fraser-McGurk,Harshit Rana,Kagiso Rabada,Rasikh Dar,Sandeep Sharma,Akash Madhwal,Yuzvendra Chahal,Fazalhaq Farooqi,Shimron Hetmyer
Jofra Archer,Sanju Samson,Phil Salt,Jacob Bethell,Rahul Tewatia,David Miller,Rajat Patidar,Vaibhav Suryavanshi,Faf du Plessis
Rashid Khan,Glenn Phillips,Karun Nair,Prabhsimran Singh,Dhruv Jurel,Nehal Wadhera,Rovman Powell,,Jasprit Bumrah
